City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
92,Al Jawf,29.5,38.75,303.16,17,0,"{'speed': 5.55, 'deg': 338, 'gust': 11.9}",SA,1690236360
93,Bikenibeu Village,1.3673,173.1241,301.13,89,75,"{'speed': 0, 'deg': 0}",KI,1690236361
94,Banda Aceh,5.5577,95.3222,300.05,70,72,"{'speed': 5.83, 'deg': 196, 'gust': 7.06}",ID,1690236362
95,Tenenkou,14.4572,-4.9169,305.12,47,93,"{'speed': 2.3, 'deg': 190, 'gust': 3.34}",ML,1690236363
96,San Jose Del Guaviare,2.5729,-72.6459,296.49,96,89,"{'speed': 1.28, 'deg': 197, 'gust': 1.9}",CO,1690236363
97,Vidyayevo,69.3191,32.8049,282.29,97,100,"{'speed': 5.23, 'deg': 52, 'gust': 7.77}",RU,1690236364
98,Jerseyville,39.12,-90.3285,308.94,29,2,"{'speed': 1.29, 'deg': 145, 'gust': 2.74}",US,1690236365
99,Talnakh,69.4865,88.3972,285.49,71,86,"{'speed': 0.94, 'deg': 280, 'gust': 0.97}",RU,1690236365
100,Broome,42.2506,-75.833,296.47,89,100,"{'speed': 4.12, 'deg': 290}",US,1690236366
101,Katiola,8.1333,-5.1,298.5,94,100,"{'speed': 1.58, 'deg': 181, 'gust': 1.98}",CI,1690236367
102,El Playon,7.4713,-73.2031,303.3,69,72,"{'speed': 0.88, 'deg': 300, 'gust': 2.24}",CO,1690236368
103,Klyuchi,52.2667,79.1667,291.25,59,48,"{'speed': 3.6, 'deg': 289, 'gust': 7.09}",RU,1690236368
104,Bodo,67.28,14.405,288.02,92,75,"{'speed': 4.12, 'deg': 20}",NO,1690236369
105,Codrington,-38.2667,141.9667,281.93,81,90,"{'speed': 2.71, 'deg': 319, 'gust': 3.37}",AU,1690236369
106,Kindu,-2.95,25.95,298.11,46,34,"{'speed': 0.83, 'deg': 65, 'gust': 0.87}",CD,1690236370
107,Sittwe,20.15,92.9,300.4,83,66,"{'speed': 6.07, 'deg': 138, 'gust': 8.42}",MM,1690236370
108,Road Town,18.4167,-64.6167,304.2,70,40,"{'speed': 4.63, 'deg': 60}",VG,1690236198
109,Hami,42.8,93.45,299.65,25,0,"{'speed': 4.05, 'deg': 30, 'gust': 5.01}",CN,1690236371
110,Grootfontein,-19.5667,18.1167,285.91,41,2,"{'speed': 0, 'deg': 0}",NA,1690236372
111,Avarua,-21.2078,-159.775,297.18,83,100,"{'speed': 4.12, 'deg': 240}",CK,1690236373
112,Kurchatov,51.6601,35.6521,292.38,66,80,"{'speed': 4.35, 'deg': 203, 'gust': 12.13}",RU,1690236373
113,Danilov,58.1908,40.1717,283.61,99,99,"{'speed': 1.99, 'deg': 211, 'gust': 4.95}",RU,1690236374
114,Port Alfred,-33.5906,26.891,284.9,70,0,"{'speed': 3.66, 'deg': 301, 'gust': 3.79}",ZA,1690236374
115,Sandnessjoen,66.0217,12.6316,286.22,94,75,"{'speed': 2.57, 'deg': 40}",NO,1690236150
116,Dokkum,53.3222,5.997,289.15,82,100,"{'speed': 2.57, 'deg': 300}",NL,1690236375
117,College,64.8569,-147.8028,302.63,46,40,"{'speed': 2.06, 'deg': 210}",US,1690236376
118,Behbahan,30.5959,50.2417,306.98,12,81,"{'speed': 0.73, 'deg': 307, 'gust': 1.13}",IR,1690236377
119,Sertanopolis,-23.0586,-51.0364,297.19,47,6,"{'speed': 1.1, 'deg': 178, 'gust': 1.12}",BR,1690236377
120,Lubaczow,50.157,23.1234,290.81,90,79,"{'speed': 3.15, 'deg': 83, 'gust': 5.32}",PL,1690236378
121,Nemuro,43.3236,145.575,291.08,93,81,"{'speed': 6.49, 'deg': 228, 'gust': 9.25}",JP,1690236378
